공원명,위도,경도,수요 지수,인프라 지수,접근성 지수,합산 지수,순위
갈산공원,37.50836,126.869014,0.6806197336232672,0.8153558357,0.0,5.714430073139604,1
신월2동소공원,37.517649,126.848293,0.5977958140984215,0.8538902029,0.0932058756794617,5.480967041749452,2
장수공원,37.522468,126.847043,0.5691764066322371,0.6613899996,0.3403097834421638,5.418458005877751,3
신월6동소공원1,37.517261,126.843217,0.5546938695311803,0.8828340178,0.1336045350961448,5.361040322979371,4
넘은들공원,37.513034,126.840467,0.6066865996194618,0.7201193301,0.0729868156841432,5.226331889285057,5
파리공원,37.535016,126.877154,0.2343986721149301,0.8668156131,1.0,5.140023258889581,6
독서공원,37.519757,126.83485,0.3526128932435616,0.9393194646,0.5514830449572525,5.0972823785758745,7
달마을근린공원,37.543498,126.868468,0.55485676007882,0.7506206571,0.0711850817506504,4.972752038174221,8
으뜸가로공원,37.53664574,126.8308721,0.4695729438280355,0.6764775391,0.3263111448319652,4.823015030832143,9
곰달래근린공원,37.524905,126.833211,0.4182404771826275,0.8608373366,0.2901858862082603,4.811489308712285,10
신월6동소공원2,37.516725,126.844484,0.5408319376100574,0.6850729514,0.0,4.615137528460345,11
목동마중숲,37.5319248,126.8859869,0.653825088305124,0.1947161583,0.00574958499135,4.323882016413443,12
연의공원,37.512717,126.833542,0.2650176678445229,0.9337059485,0.407032233011102,4.271582370089342,13
양지근린공원,37.5222,126.831005,0.415641364947417,0.8079318583,0.00885979568391,4.127431497652322,14
안양천공원,37.522877,126.879048,0.315031258494156,0.6795708988,0.0496485766840024,3.348626501932941,15
오솔길공원,37.521151,126.836556,0.1817212637784693,0.7873592244,0.3335073185912217,3.332060668653259,16
신월공원,37.518137,126.834492,0.279837750657667,0.6838202274,0.1184346349044919,3.2835362285549854,17
갈산소공원,37.510721,126.869612,0.0649633052459907,0.9071852006,0.4576556652380146,3.1194615631519733,18
양천공원,37.518012,126.868162,0.1312856754552866,0.6645592713,0.5005035707335272,3.117839736798774,19
한울근린공원,37.519799,126.832525,0.1332045020545396,0.6710017119,0.3362632809494214,2.81375699802608,20
오목공원,37.528005,126.873279,0.0,0.7095288123,0.5008883113295792,2.420834247259158,21
온수도시자연공원,37.514628,126.836199,0.1308219825055966,0.7078785637,0.1071085533484539,2.4149061291304874,22
목마공원,37.538174,126.885602,0.0514091773624049,0.8942756711,0.110564940894338,2.3181362881631054,23
신트리공원,37.514612,126.856483,0.0,0.8001986249,0.2744805777745492,2.1493584053490986,24
서서울호수공원,37.528443,126.830473,0.0242583808619648,0.8197062597,0.1231008477745581,2.031164500120905,25
신정소공원,37.506192,126.833035,0.2522424571894536,0.06807063854,0.0623961357336124,1.7743882916839462,26
신월6동소공원3,37.515737,126.843973,0.049383132469,0.6316587061,0.0,1.5596162070139998,27
계남공원,37.514104,126.850051,0.1677086164718672,0.2717157575,0.0,1.549683213831203,28
안양천 가족정원,37.52051916,126.8787081,0.0,0.5741893498,0.1504380572124512,1.4492548140249024,29
목동공원,37.546521,126.879263,0.080850556468628,0.4593097188,0.0081064574538782,1.4199356913195242,30
용왕산공원,37.543358,126.878788,0.029667851253194,0.3223305156,0.0047576896551414,0.8321835180294467,31
양천도시농업공원,37.512982,126.826174,0.0,0.1180962278,0.0185294299651043,0.2732513155302086,32
