주차장명,주소,기본 주차 요금,기본 주차 시간(분 단위),추가 단위 요금,추가 단위 시간(분 단위),버스 추가 단위 요금,위도,경도
바람개비주차장(구),양천구 목동 919-8,150,5,150.0,5.0,0,,
한마음주차장(구),양천구 목동 914-5,150,5,150.0,5.0,0,,
양천사회단체봉사센터(구),양천구 목동 905-29,150,5,150.0,5.0,0,,
목동타운홀(구),양천구 목동 905-21,150,5,150.0,5.0,0,37.53292894,126.87687749
한국통신(구),양천구 목동 924-1,250,5,250.0,5.0,0,37.52824981,126.87185989
부영그린 공영노상주차장(구),양천구 목동 908-35,150,5,0.0,0.0,0,37.53714918,126.88127502
신월1동저지복개1구역(구),양천구 신월동 228-1,150,5,300.0,10.0,0,,
"신정1,3동 복개(구)",양천구 신정동 1031-0,150,5,300.0,10.0,0,37.5204445,126.85387722
파리공원(구),양천구 목동 906-1,150,5,150.0,5.0,0,37.53393949,126.87629051
신정4동길(구),양천구 신정동 902-0,150,5,300.0,10.0,0,37.52750735,126.85574271
신월1동저지복개2구역(구),양천구 신월동 90-1,150,5,300.0,10.0,0,37.53626557,126.83378714
현대41타워옆 노상공영주차장(구),양천구 목동 917-2,150,5,0.0,0.0,0,37.52776366,126.87555495
양천경찰서 노상공영주차장(구),양천구 신정동 322-3,150,5,0.0,0.0,0,37.5166895,126.86514035
신월5동복개주차장(구),양천구 신월동 53-2,150,5,300.0,10.0,0,37.5383491,126.82753192
한전 뒷길 노상주차장(구),양천구 신정동 319-25,150,5,0.0,0.0,0,37.52034748,126.86902013
양천공원옆(구),양천구 신정동 320-3,150,5,150.0,5.0,0,37.51888618,126.86878819
양천구청 노상공영주차장(구),양천구 신정동 321-3,150,5,0.0,0.0,0,37.51706475,126.86707345
법안정사 공영주차장(구),양천구 목동 907-1,150,5,0.0,0.0,0,37.53563315,126.87772751
동문굿모닝탑 앞 노상공영주차장(구),양천구 신정동 324-3,150,5,0.0,0.0,0,37.51513545,126.86111612
신영시장 공동주차장(구),양천구 신월동 114-16,150,5,150.0,5.0,0,37.53302124,126.83625423
목사랑시장(구),양천구 목동 723-7,150,5,150.0,5.0,0,37.53897937,126.86534955
신월3동 여울공영주차장(구),양천구 신월동 151-5,50,5,50.0,5.0,0,37.53504594,126.82414512
신정4동 로데오길(구),양천구 신정동 890-0,150,5,300.0,10.0,0,37.52786245,126.86240691
곰달래로5길 노상(구),양천구 신월동 126-36,150,5,300.0,10.0,0,37.53131202,126.83387078
공유) 공유주차장(구),양천구 신정동 88-16,0,0,0.0,0.0,0,37.520044,126.872086
문화회관서측 노외주차장(구),양천구 신정동 323-25,150,5,150.0,5.0,0,37.51635934,126.86255573
신월4동 공영주차장(시),양천구 신월동 411-1,120,5,,,0,37.525643,126.837692
밝은빛 공영주차장(구),양천구 신정동 323-18,150,5,150.0,5.0,0,,
어울림주차장(구),양천구 신정동 318-2,150,5,150.0,5.0,0,,
법마을공영주차장(구),양천구 신정동 1018-3,50,5,50.0,5.0,0,37.5216693,126.8605681
서서울주차장(구),양천구 신월동 267-8,50,5,50.0,5.0,0,37.528565,126.832411
능골주차장(구),양천구 신월동 152-38,50,5,50.0,5.0,0,37.5334549,126.8246241
벚꽃길주차장(구),양천구 신정동 884-8,50,5,50.0,5.0,0,37.52756848,126.85997742
한울주차장(구),양천구 신월동 957-10,50,5,50.0,5.0,0,37.51995355,126.83176417
구름다리주차장(구),양천구 신월동 915-4,50,5,50.0,5.0,0,37.52421803,126.83288523
문화회관동측(구),양천구 신정동 322-5,150,5,150.0,5.0,0,,
마을마당주차장(구),양천구 신월동 129-6,50,5,50.0,5.0,0,37.530407182956,126.832339097639
신정7동 한사랑교회 주차장(구),양천구 신정동 324-11,150,5,150.0,5.0,0,37.5146488,126.8603852
당곡주차장(구),양천구 신월동 482-11,50,5,50.0,5.0,0,37.52437054,126.84509862
누리 공영주차장(구),양천구 신정동 323-13,150,5,150.0,5.0,0,,
신우주차장(구),양천구 신월동 166-23,50,5,50.0,5.0,0,37.5342655,126.828501
신곡주차장(구),양천구 신월동 549-18,50,5,50.0,5.0,0,37.5166827,126.8409052
곰달래주차장(구),양천구 신월동 226-9,50,5,50.0,5.0,0,37.5295809,126.8363976
하늘 공영주차장(구),양천구 신정동 323-33,150,5,150.0,5.0,0,,
해맞이공영주차장(구),양천구 신월동 987-0,50,5,50.0,5.0,0,37.51967896,126.83490721
다락골주차장(구),양천구 신정동 1158-1,50,5,50.0,5.0,0,37.5160912,126.8487839
문화회관 지하 주차장(구),양천구 신정동 322-0,150,5,,,0,37.516221,126.863137
가로공원공영주차장(구),양천구 신월동 263-0,150,5,150.0,5.0,0,37.5363308,126.8322604
신정교주차장(구),양천구 신정동 871-3,0,0,0.0,0.0,0,37.5171996,126.8779641
목동공영주차장(구),양천구 목동 915-0,150,5,,,0,37.526539,126.876659
목2동 월촌(구),양천구 목동 525-0,50,5,50.0,5.0,0,37.54595116,126.87462298
한두공영주차장(구),양천구 목동 610-5,50,5,50.0,5.0,0,37.54876937,126.86622879
우리공영주차장(구),양천구 목동 907-8,150,5,150.0,5.0,0,,
웃우물 공영주차장(시),양천구 신정동 943-25,220,5,220.0,5.0,0,37.52379759,126.85141746
광장주차장(구),양천구 목동 907-19,150,5,150.0,5.0,0,,
목동체비지 공영주차장(시),양천구 목동 908-26,130,5,130.0,5.0,0,37.53679354,126.8806468
달마을주차장(구),양천구 목동 532-18,50,5,50.0,5.0,0,37.54437302,126.87163762
목3동 해운주차장(구),양천구 목동 711-6,50,5,50.0,5.0,0,37.54193427,126.86513021
갈산 거주자우선주차장(구),양천구 신정동 1325-4,0,0,0.0,0.0,0,37.510638,126.870335
경창시장 고객주차장(구),양천구 신월동 446-3,150,5,0.0,0.0,0,,
깨비시장 고객주차장(구),양천구 목동 614-3,150,5,0.0,0.0,0,,
공유주차장(구),양천구 신정동 88-16 ,0,0,0.0,0.0,0,,
광장공영주차장(구),양천구 목동 907-19,150,5,,,0,37.535463,126.879364
양천사회단체봉사센터 공영주차장(구),양천구 목동 905-29,150,5,0.0,0.0,0,37.531871,126.875505
바람개비 공영주차장(구),양천구 목동 919-8,150,5,,,0,37.530417,126.874157
한마음 공영주차장(구),양천구 목동 914-5,150,5,,,0,37.530543,126.877927
문화회관 동측 공영주차장(구),양천구 신정동 322-5,150,5,,,0,37.516978,126.863605
어울림 공영주차장(구),양천구 신정동 318-2,150,5,0.0,0.0,0,37.522184,126.869169
목동노외 공영주차장(시),양천구 목동 905-32,150,5,150.0,5.0,0,37.53344049,126.87660968
