시도명,시군구명,동명,내장형 칩(RFID),외장형 칩(RFID),인식표,등록 품종수,동물 소유자수,동물 등록수,데이터기준일
서울특별시,강남구,개포동,1185,1699,305,74,2459,3189,2022-08-25
서울특별시,강남구,논현동,2010,1430,450,97,2792,3890,2022-08-25
서울특별시,강남구,대치동,1935,1756,518,91,3446,4209,2022-08-25
서울특별시,강남구,도곡동,1327,1279,271,69,2294,2877,2022-08-25
서울특별시,강남구,삼성동,1424,1022,456,88,2152,2902,2022-08-25
서울특별시,강남구,세곡동,274,306,61,54,505,641,2022-08-25
서울특별시,강남구,수서동,421,496,75,54,781,992,2022-08-25
서울특별시,강남구,신사동,435,325,114,69,670,874,2022-08-25
서울특별시,강남구,역삼동,2572,2033,491,100,3820,5096,2022-08-25
서울특별시,강남구,율현동,91,60,8,30,120,159,2022-08-25
서울특별시,강남구,일원동,738,635,382,66,1414,1755,2022-08-25
서울특별시,강남구,자곡동,414,404,80,55,697,898,2022-08-25
서울특별시,강남구,청담동,938,755,312,77,1534,2005,2022-08-25
서울특별시,강남구,압구정동,896,803,185,65,1457,1884,2022-08-25
