번호,구분,업체명,소재지,인허가 정보,이전인허가정보,비고
1,위탁관리,멍다움,서울특별시 양천구 목동315번지 42호,314000004820230004,, 
2,위탁관리,도그하우스,서울특별시 양천구 목동773번지 5호 성보주상복합아파트,314000004820230003,, 
3,위탁관리,도그랭 강아지놀이방,서울특별시 양천구 신월동474번지 16호,314000004820230002,, 
4,위탁관리,상상동물병원,서울특별시 양천구 신정동319번지 우림필유,314000004820230001,, 
5,위탁관리,멍캉스,서울특별시 양천구 신월동207번지 1호,314000004820220013,, 
6,위탁관리,리브독(LeavDog),서울특별시 양천구 신월동223번지 1호 3층,314000004820220012,, 
7,위탁관리,로우포우신월(rawpaw),서울특별시 양천구 신월동205번지 24호,314000004820220011,, 
8,위탁관리,리본반려견 유치원,서울특별시 양천구 신정동881번지 19호 성은빌딩5층,314000004820220010,314000003720220010, 
9,위탁관리,네발로오시개,서울특별시 양천구 신월동550번지 3호 승일뷰티타워2,314000004820220003,314000003720220003, 
10,위탁관리,강아지분양 타임도그 애견샵 목동점,서울특별시 양천구 신정동908번지 19호,314000004820210019,314000003720210019, 
11,위탁관리,키움 반려견 아카데미,서울특별시 양천구 신정동885번지 17호 양정빌딩 3층,314000004820210018,314000003720210018, 
12,위탁관리,카페멍,서울특별시 양천구 목동406번지 271호 소망빌딩,314000004820210016,314000003720210016, 
13,위탁관리,아이멍쥬,서울특별시 양천구 신월동207번지 14호 1층,314000004820210009,314000003720210009,  미용
14,위탁관리,가나종합동물병원,서울특별시 양천구 목동907번지 현대월드타워,314000004820200035,314000003720200035,  미용
15,위탁관리,리더스 동물병원,서울특별시 양천구 신정동117번지 37호,314000004820200034,314000003720200034,  미용
16,위탁관리,POSH(포쉬),서울특별시 양천구 신정동922번지 24호,314000004820200033,314000003720200033,  미용
17,위탁관리,양천종합동물병원,서울특별시 양천구 신월동444번지 11호,314000004820200032,314000003720200032,  미용
18,위탁관리,파란동물병원,서울특별시 양천구 신월동546번지 25호,314000004820200028,314000003720200028,  미용
19,위탁관리,몽스파목동점,서울특별시 양천구 목동919번지 7호 홈플러스목동점,314000004820200027,314000003720200027,  미용
20,위탁관리,페토브 동물병원,서울특별시 양천구 신정동329번지 목동신시가지아파트14단지,314000004820200021,314000003720200021, 
21,위탁관리,별개,서울특별시 양천구 신월동933번지 3호,314000004820200017,314000003720200017, 
22,위탁관리,신월동물병원,서울특별시 양천구 신월동1002번지 3호,314000004820200015,314000003720200015, 
23,위탁관리,봄날동물병원,서울특별시 양천구 목동753번지 12호,314000004820200011,314000003720200011, 
24,위탁관리,이든반려견 문화센터,서울특별시 양천구 신정동881번지 19호 성은빌딩,314000004820200006,314000003720200006, 
25,위탁관리,몽몽,서울특별시 양천구 신정동1049번지 27호,314000004820200001,314000003720200001, 
26,위탁관리,예뻐지개,서울특별시 양천구 신월동446번지 7호,314000004820190033,314000003720190033, 
27,위탁관리,냥플레이스,서울특별시 양천구 목동768번지 1호,314000004820190029,314000003720190029, 
28,위탁관리,너.애.개,서울특별시 양천구 신월동520번지 7호,314000004820190026,314000003720190026, 
29,위탁관리,파리스동물병원,서울특별시 양천구 목동903번지 목동신시가지아파트3단지,314000004820190024,314000003720190024, 
30,위탁관리,스테이펫_호텔,서울특별시 양천구 신정동171번지 61호 목동파크자이 상가 비 318,314000004820190016,314000003720190016, 
31,위탁관리,캣츠아일랜드,서울특별시 양천구 신정동1052번지 26호 3층,314000004820190005,314000003720190005, 
32,위탁관리,뽀송하개,서울특별시 양천구 신정동942번지 19호 1층,314000004820190002,314000003720190002, 
33,위탁관리,몽몽바블펫#,서울특별시 양천구 신정동1049번지 19호,314000004820180018,314000003720180018, 
34,위탁관리,노아동물병원,서울특별시 양천구 신정동294번지 62호,314000004820180014,314000003720180014, 
